EpochTime,BuffWarning,status,Resolution
1521751441440,1,3,4
1521751441541,1,3,4
1521751441640,1,3,4
1521751441741,1,3,4
1521751441841,1,3,4
1521751441942,1,3,4
1521751442041,1,3,4
1521751442141,1,3,4
1521751442241,1,3,4
1521751442341,1,3,4
1521751442443,1,3,4
1521751442641,1,3,4
1521751442841,1,3,4
1521751443041,1,3,4
1521751443140,1,3,4
1521751443341,1,3,4
1521751443442,1,3,4
1521751443540,1,3,4
1521751443641,1,3,4
1521751443741,1,3,4
1521751443841,1,3,4
1521751444041,1,3,4
1521751444141,1,3,4
1521751444340,1,3,4
1521751444542,1,3,4
1521751444641,1,3,4
1521751444741,1,3,4
1521751444941,0,3,4
1521751445042,0,3,4
1521751445140,0,3,4
1521751445342,0,3,4
1521751445441,0,3,4
1521751445540,0,3,4
1521751445640,0,3,4
1521751445742,0,3,4
1521751445842,0,3,4
1521751445940,0,3,4
1521751446041,0,3,4
1521751446140,0,3,4
1521751446240,0,3,4
1521751446341,0,3,4
1521751446440,0,3,4
1521751446541,0,3,4
1521751446641,0,3,4
1521751446740,0,3,4
1521751446842,0,3,4
1521751446941,0,3,4
1521751447040,0,3,4
1521751447141,0,3,4
1521751447242,0,3,4
1521751447341,0,3,4
1521751447440,0,3,4
1521751447540,0,3,4
1521751447640,0,3,4
1521751447740,0,3,4
1521751447840,0,3,4
1521751447942,0,3,4
1521751448041,0,3,4
1521751448141,0,3,4
1521751448242,0,3,4
1521751448342,0,3,4
1521751448444,0,3,4
1521751448543,0,3,4
1521751448644,0,3,4
1521751448841,0,3,4
1521751448944,0,3,4
1521751449141,0,3,4
1521751449341,0,3,4
1521751449444,0,3,4
1521751449642,0,3,4
1521751449742,0,3,4
1521751449843,0,3,4
1521751449945,0,3,4
1521751450142,0,3,4
1521751450241,0,3,4
1521751450342,0,3,4
1521751450442,0,3,4
1521751450641,0,3,4
1521751450741,0,3,4
1521751450842,0,3,4
1521751451042,0,3,4
1521751451141,0,3,4
1521751451242,0,3,4
1521751451344,0,3,4
1521751451542,0,3,4
1521751451641,0,3,4
1521751451741,0,3,4
1521751451841,0,3,4
1521751452041,0,3,4
1521751452141,0,3,4
1521751452240,0,3,4
1521751452342,0,3,4
1521751452540,0,3,4
1521751452642,0,3,4
1521751452740,0,3,4
1521751452842,0,3,4
1521751452940,0,3,4
1521751453040,0,3,4
1521751453140,0,3,4
1521751453240,0,3,4
1521751453340,0,3,4
1521751453540,0,3,4
1521751453741,0,3,4
1521751453840,0,3,4
1521751454041,0,3,4
1521751454141,0,3,4
1521751454240,0,3,4
1521751454340,0,3,4
1521751454541,0,3,4
1521751454640,0,3,4
1521751454740,0,3,4
1521751454844,0,3,4
1521751455041,0,3,4
1521751455141,0,3,4
1521751455241,0,3,4
1521751455341,0,3,4
1521751455541,0,3,4
1521751455643,0,3,4
1521751455842,0,3,4
1521751455949,0,3,4
1521751456043,0,3,4
1521751456144,0,3,4
1521751456244,0,3,4
1521751456344,0,3,4
1521751456540,0,3,4
1521751456642,0,3,4
1521751456741,0,3,4
1521751456841,0,3,4
1521751456944,0,3,4
1521751457142,0,3,4
1521751457242,0,3,4
1521751457343,0,3,4
1521751457444,0,3,4
1521751457642,0,3,4
1521751457741,0,3,4
1521751457843,0,3,4
1521751457951,0,3,4
1521751458141,0,3,4
1521751458342,0,3,4
1521751458542,0,3,4
1521751458641,0,3,4
1521751458741,0,3,4
1521751458840,0,3,4
1521751459040,0,3,4
1521751459140,0,3,4
1521751459240,0,3,4
1521751459340,0,3,4
1521751459540,0,3,4
1521751459641,0,3,4
1521751459741,0,3,4
1521751459840,0,3,4
1521751460040,0,3,4
1521751460140,0,3,4
1521751460240,0,3,4
1521751460340,0,3,4
1521751460441,0,3,4
1521751460540,0,3,4
1521751460641,0,3,4
1521751460740,0,3,4
1521751460839,0,3,4
1521751461040,0,3,4
1521751461141,0,3,4
1521751461241,0,3,4
1521751461340,0,3,4
1521751461441,0,3,4
1521751461540,0,3,4
1521751461640,0,3,4
1521751461740,0,3,4
1521751461840,0,3,4
1521751462040,0,3,4
1521751462141,0,3,4
1521751462241,0,3,4
1521751462341,0,3,4
1521751462542,0,3,4
1521751462643,0,3,4
1521751462743,0,3,4
1521751462843,0,3,4
1521751463040,0,3,4
1521751463144,0,3,4
1521751463243,0,3,4
1521751463343,0,3,4
1521751463444,0,3,4
1521751463543,0,3,4
1521751463644,0,3,4
1521751463744,0,3,4
1521751463844,0,3,4
1521751464041,0,3,4
1521751464143,0,3,4
1521751464341,0,3,4
1521751464443,0,3,4
1521751464543,0,3,4
1521751464643,0,3,4
1521751464745,0,3,4
1521751464941,0,3,4
1521751465142,0,3,4
1521751465243,0,3,4
1521751465441,0,3,4
1521751465641,0,3,4
1521751465743,0,3,4
1521751465940,0,3,4
1521751466141,0,3,4
1521751466340,0,3,4
1521751466440,0,3,4
1521751466640,0,3,4
1521751466743,0,3,4
1521751466940,0,3,4
1521751467140,0,3,4
1521751467240,0,3,4
1521751467342,0,3,4
1521751467440,0,3,4
1521751467542,0,3,4
1521751467640,0,3,4
1521751467840,0,3,4
1521751467941,0,3,4
1521751468040,0,3,4
1521751468140,0,3,4
1521751468242,0,3,4
1521751468341,0,3,4
1521751468541,0,3,4
1521751468639,0,3,4
1521751468740,0,3,4
1521751468839,0,3,4
1521751469041,0,3,4
1521751469141,0,3,4
1521751469240,0,3,4
1521751469341,0,3,4
1521751469440,0,3,4
1521751469539,0,3,4
1521751469641,0,3,4
1521751469742,0,3,4
1521751469843,0,3,4
1521751470040,0,3,4
1521751470143,0,3,4
1521751470243,0,3,4
1521751470344,0,3,4
1521751470540,0,3,4
1521751470644,0,3,4
1521751470842,0,3,4
1521751470943,0,3,4
1521751471043,0,3,4
1521751471240,0,3,4
1521751471342,0,3,4
1521751471443,0,3,4
1521751471544,0,3,4
1521751471742,0,3,4
1521751471841,0,3,4
1521751471940,0,3,4
1521751472040,0,3,4
1521751472140,0,3,4
1521751472241,0,3,4
1521751472441,0,3,4
1521751472540,0,3,4
1521751472640,0,3,4
1521751472740,0,3,4
1521751472940,0,3,4
1521751473042,0,3,4
1521751473141,0,3,4
1521751473240,0,3,4
1521751473342,0,3,4
1521751473441,0,3,4
1521751473641,0,3,4
1521751473742,0,3,4
1521751473842,0,3,4
1521751473940,0,3,4
1521751474139,0,3,4
1521751474341,0,3,4
1521751474440,0,3,4
1521751474539,0,3,4
1521751474640,0,3,4
1521751474739,0,3,4
1521751474839,0,3,4
1521751474941,0,3,4
1521751475040,0,3,4
1521751475141,0,3,4
1521751475242,0,3,4
1521751475340,0,3,4
1521751475441,0,3,4
1521751475540,0,3,4
1521751475639,0,3,4
1521751475741,0,3,4
1521751475839,0,3,4
1521751475941,0,3,4
1521751476040,0,3,4
1521751476140,0,3,4
1521751476240,0,3,4
1521751476340,0,3,4
1521751476442,0,3,4
1521751476541,0,3,4
1521751476640,0,3,4
1521751476740,0,3,4
1521751476842,0,3,4
1521751477042,0,3,4
1521751477141,0,3,4
1521751477341,0,3,4
1521751477450,0,3,4
1521751477642,0,3,4
1521751477743,0,3,4
1521751477843,0,3,4
1521751478040,0,3,4
1521751478144,0,3,4
1521751478342,0,3,4
1521751478444,0,3,4
1521751478543,0,3,4
1521751478742,0,3,4
1521751478840,0,3,4
1521751479042,0,3,4
1521751479140,0,3,4
1521751479241,0,3,4
1521751479340,0,3,4
1521751479440,0,3,4
1521751479540,0,3,4
1521751479642,0,3,4
1521751479741,0,3,4
1521751479842,0,3,4
1521751479940,0,3,4
1521751480043,0,3,4
1521751480239,0,3,4
1521751480342,0,3,4
1521751480441,0,3,4
1521751480542,0,3,4
1521751480641,0,3,4
1521751480740,0,3,4
1521751480842,0,3,4
1521751480940,0,3,4
1521751481040,0,3,4
1521751481140,0,3,4
1521751481240,0,3,4
1521751481340,0,3,4
1521751481440,0,3,4
1521751481542,0,3,4
1521751481639,0,3,4
1521751481740,0,3,4
1521751481941,0,3,4
1521751482042,0,3,4
1521751482142,0,3,4
1521751482239,0,3,4
1521751482341,0,3,4
1521751482442,0,3,4
1521751482639,0,3,4
1521751482739,0,3,4
1521751482840,0,3,4
1521751482940,0,3,4
1521751483040,0,3,4
1521751483140,0,3,4
1521751483239,0,3,4
1521751483339,0,3,4
1521751483442,0,3,4
1521751483641,0,3,4
